Census Tract,GEOID,Median HH Income,Year,Total Population,Total Households,Median age ,Average HH size,BS Degree and above,White ,Black or African American ,American Indian and Alaska Native ,Asian ,Native Hawaiian and Other Pacific Islander ,Some other race,Two or more races,Hispanic or Latino
"Census Tract 1, Cochise County, Arizona",4003000100,31806,1,1578,775,58.7,2.03,252,1197,0,19,4,0,201,157,1578
"Census Tract 1, Coconino County, Arizona",4005000100,80179,1,3744,1429,43.3,2.61,1528,3066,15,370,41,0,74,178,3744
"Census Tract 1, Gila County, Arizona",4007000100,49805,1,1604,863,65,1.86,537,1545,0,47,12,0,0,0,1604
"Census Tract 1, Pima County, Arizona",4019000100,24861,1,494,319,36.4,1.41,137,404,24,3,12,0,27,24,494
"Census Tract 1, Yuma County, Arizona",4027000100,30904,1,2472,746,34.5,2.36,152,1884,120,51,0,0,326,91,2472
"Census Tract 10, Cochise County, Arizona",4003001000,33136,1,1609,892,53.6,1.45,514,1311,70,49,48,0,97,34,1609
"Census Tract 10, Coconino County, Arizona",4005001000,14813,1,8972,553,19.6,2.6,218,6939,396,467,353,0,183,634,8972
"Census Tract 10, Gila County, Arizona",4007001000,31731,1,5260,2170,46.8,2.42,471,4882,0,33,0,0,51,294,5260
"Census Tract 10, Pima County, Arizona",4019001000,39145,1,988,397,33,2.48,192,726,75,78,0,0,109,0,988
"Census Tract 10, Pinal County, Arizona",4021001000,26036,1,4827,1553,36.9,3.09,338,3883,258,375,58,0,181,72,4827
"Census Tract 10.01, Yavapai County, Arizona",4025001001,52284,1,4358,1993,54.9,2.13,1494,4181,0,123,0,0,0,54,4358
"Census Tract 10.01, Yuma County, Arizona",4027001001,40052,1,2581,1235,57.8,2.09,534,2427,35,0,0,0,97,22,2581
"Census Tract 10.02, Yavapai County, Arizona",4025001002,40403,1,3316,1685,56.8,1.9,947,3178,0,30,21,0,60,27,3316
"Census Tract 10.03, Yuma County, Arizona",4027001003,30813,1,1298,490,30.6,2.63,114,850,32,0,97,0,319,0,1298
"Census Tract 10.04, Yuma County, Arizona",4027001004,25965,1,2372,1071,25.8,2.18,122,1529,137,0,104,0,451,151,2372
"Census Tract 101.01, Maricopa County, Arizona",4013010101,102458,1,5182,2220,54,2.33,2208,5052,0,17,26,0,39,48,5182
"Census Tract 101.02, Maricopa County, Arizona",4013010102,138495,1,4001,1995,63.2,2,2578,3738,27,18,74,0,0,144,4001
"Census Tract 1032.05, Maricopa County, Arizona",4013103205,108314,1,2872,1000,47.6,2.86,880,2658,29,39,56,0,0,90,2872
"Census Tract 1032.06, Maricopa County, Arizona",4013103206,114569,1,2446,852,47.2,2.86,929,2318,28,19,0,0,46,35,2446
"Census Tract 1032.07, Maricopa County, Arizona",4013103207,101964,1,2557,887,45.9,2.76,801,2447,67,17,16,0,7,3,2557
"Census Tract 1032.08, Maricopa County, Arizona",4013103208,56932,1,3936,2010,47,1.95,1551,3389,219,0,147,0,149,32,3936
"Census Tract 1032.09, Maricopa County, Arizona",4013103209,96250,1,5002,1968,48.1,2.52,2362,4825,0,0,132,0,0,45,5002
"Census Tract 1032.10, Maricopa County, Arizona",4013103210,42492,1,6773,3149,35.7,2.11,1349,6074,184,41,181,0,46,247,6773
"Census Tract 1032.11, Maricopa County, Arizona",4013103211,84917,1,4384,1673,44.6,2.62,1377,4169,0,0,153,0,0,62,4384
"Census Tract 1032.12, Maricopa County, Arizona",4013103212,99297,1,4289,1586,45.7,2.68,1621,4093,9,0,121,0,12,54,4289
"Census Tract 1032.14, Maricopa County, Arizona",4013103214,101307,1,3820,1422,47.7,2.65,1404,3574,68,0,77,0,4,97,3820
"Census Tract 1032.15, Maricopa County, Arizona",4013103215,86211,1,2784,949,48,2.74,919,2624,6,20,7,0,61,66,2784
"Census Tract 1032.16, Maricopa County, Arizona",4013103216,70992,1,5306,2054,44.1,2.55,1746,4814,73,17,229,0,61,112,5306
"Census Tract 1032.17, Maricopa County, Arizona",4013103217,75737,1,6567,2611,37.7,2.47,2324,5555,16,11,835,0,36,114,6567
"Census Tract 1032.19, Maricopa County, Arizona",4013103219,72098,1,2721,1392,47.1,1.94,1168,2364,8,16,272,0,0,61,2721
"Census Tract 1032.20, Maricopa County, Arizona",4013103220,88750,1,2932,1356,38.5,2.15,1283,2477,2,0,348,10,2,93,2932
"Census Tract 1033.02, Maricopa County, Arizona",4013103302,46191,1,7034,2275,30,3.09,764,5968,512,0,17,0,106,431,7034
"Census Tract 1033.03, Maricopa County, Arizona",4013103303,56691,1,3747,1539,46.4,2.29,874,3465,87,4,124,0,19,48,3747
"Census Tract 1033.04, Maricopa County, Arizona",4013103304,32316,1,5536,1657,27,3.34,390,3352,443,0,49,0,1533,159,5536
"Census Tract 1033.05, Maricopa County, Arizona",4013103305,27031,1,3061,978,31.8,3.11,131,2194,71,0,84,0,680,32,3061
"Census Tract 1033.06, Maricopa County, Arizona",4013103306,27889,1,3970,1258,27.8,3.16,78,2860,171,45,28,0,657,209,3970
"Census Tract 1034, Maricopa County, Arizona",4013103400,52995,1,4789,1679,36.3,2.85,710,4208,130,49,10,0,250,142,4789
"Census Tract 1035.01, Maricopa County, Arizona",4013103501,61875,1,3659,1222,39.1,2.99,811,3085,115,42,162,0,26,229,3659
"Census Tract 1035.02, Maricopa County, Arizona",4013103502,50871,1,5914,2316,41.1,2.55,1018,5539,62,0,89,0,147,77,5914
"Census Tract 1036.04, Maricopa County, Arizona",4013103604,39989,1,3800,1701,43.6,2.23,791,2950,101,186,173,0,390,0,3800
"Census Tract 1036.05, Maricopa County, Arizona",4013103605,90766,1,5828,2291,48.8,2.53,2407,5490,11,21,179,0,83,44,5828
"Census Tract 1036.06, Maricopa County, Arizona",4013103606,53362,1,4381,1812,39.2,2.4,902,3559,372,31,167,0,42,210,4381
"Census Tract 1036.07, Maricopa County, Arizona",4013103607,83009,1,4919,1807,44.2,2.69,1382,4458,72,0,95,0,54,240,4919
"Census Tract 1036.08, Maricopa County, Arizona",4013103608,61713,1,3700,1379,31.4,2.67,692,2849,153,27,356,1,120,194,3700
"Census Tract 1036.09, Maricopa County, Arizona",4013103609,31532,1,5141,2249,30.1,2.29,552,4088,275,164,159,4,174,277,5141
"Census Tract 1036.11, Maricopa County, Arizona",4013103611,85113,1,5023,2118,49.2,2.37,1632,4658,45,54,106,0,68,92,5023
"Census Tract 1036.12, Maricopa County, Arizona",4013103612,46277,1,5218,2338,34.8,2.22,1159,4224,413,4,113,37,173,254,5218
"Census Tract 1036.14, Maricopa County, Arizona",4013103614,58897,1,3243,1175,45.9,2.74,863,2726,31,0,62,1,328,95,3243
"Census Tract 1036.15, Maricopa County, Arizona",4013103615,22384,1,4778,1698,30.3,2.71,250,3618,470,55,0,0,510,125,4778
"Census Tract 1037.01, Maricopa County, Arizona",4013103701,40655,1,4224,2119,42.7,1.99,1029,3247,228,81,154,15,204,295,4224
"Census Tract 1037.02, Maricopa County, Arizona",4013103702,51996,1,3255,1543,44.3,2.1,913,2852,84,35,83,0,19,182,3255
"Census Tract 1039, Maricopa County, Arizona",4013103900,36096,1,6401,2226,32.4,2.87,693,4989,73,225,300,86,615,113,6401
"Census Tract 1040, Maricopa County, Arizona",4013104000,40233,1,6845,2600,34.3,2.62,844,5336,247,211,659,0,128,264,6845
"Census Tract 1041, Maricopa County, Arizona",4013104100,40625,1,6374,2310,33,2.73,690,5410,43,0,460,8,110,343,6374
"Census Tract 1042.02, Maricopa County, Arizona",4013104202,52246,1,5306,1778,41.4,2.98,686,4788,197,124,48,0,69,80,5306
"Census Tract 1042.03, Maricopa County, Arizona",4013104203,55973,1,5738,2224,42.2,2.56,800,4833,101,63,210,0,147,384,5738
"Census Tract 1042.04, Maricopa County, Arizona",4013104204,61659,1,3160,1091,44.1,2.87,308,2771,88,90,86,0,85,40,3160
"Census Tract 1042.05, Maricopa County, Arizona",4013104205,37629,1,5247,2095,37.2,2.49,587,3757,89,263,159,0,929,50,5247
"Census Tract 1042.06, Maricopa County, Arizona",4013104206,50063,1,3950,1341,39.2,2.92,566,2886,0,197,369,13,337,148,3950
"Census Tract 1042.07, Maricopa County, Arizona",4013104207,53963,1,4385,1861,37.2,2.35,790,3964,53,7,98,0,87,176,4385
"Census Tract 1042.12, Maricopa County, Arizona",4013104212,57656,1,6534,2192,35,2.97,655,5572,321,38,198,0,274,131,6534
"Census Tract 1042.14, Maricopa County, Arizona",4013104214,73221,1,2364,807,45.2,2.82,369,2210,25,18,39,0,11,61,2364
"Census Tract 1042.15, Maricopa County, Arizona",4013104215,47125,1,4299,1642,37.6,2.6,569,3778,195,51,0,0,22,253,4299
"Census Tract 1042.16, Maricopa County, Arizona",4013104216,48258,1,4931,1816,36.3,2.68,679,4257,149,132,103,0,25,265,4931
"Census Tract 1042.17, Maricopa County, Arizona",4013104217,55346,1,5286,1851,37.6,2.66,734,4600,131,0,280,13,116,146,5286
"Census Tract 1042.18, Maricopa County, Arizona",4013104218,46719,1,3580,1408,36.9,2.53,443,3069,101,85,153,0,67,105,3580
"Census Tract 1042.19, Maricopa County, Arizona",4013104219,61250,1,3318,996,38.4,3.09,478,2899,89,26,102,6,120,76,3318
"Census Tract 1042.21, Maricopa County, Arizona",4013104221,59972,1,6053,2061,35.4,2.91,953,4707,387,38,394,0,240,287,6053
"Census Tract 1042.22, Maricopa County, Arizona",4013104222,53578,1,5855,2141,36.7,2.72,999,4500,619,180,68,0,240,248,5855
"Census Tract 1042.23, Maricopa County, Arizona",4013104223,96875,1,2063,651,39.8,3.12,535,1703,106,10,103,0,59,82,2063
"Census Tract 1042.24, Maricopa County, Arizona",4013104224,47813,1,6059,2209,37.2,2.64,1013,5141,109,6,440,0,269,94,6059
"Census Tract 1042.25, Maricopa County, Arizona",4013104225,66516,1,3795,1355,37.6,2.78,453,3517,11,70,6,0,141,50,3795
"Census Tract 1042.26, Maricopa County, Arizona",4013104226,54276,1,4307,1684,37.9,2.53,760,3557,309,59,82,10,169,121,4307
"Census Tract 1042.27, Maricopa County, Arizona",4013104227,47798,1,2001,801,40.5,2.5,247,1584,226,0,84,0,107,0,2001
"Census Tract 1043.01, Maricopa County, Arizona",4013104301,53828,1,3806,1131,33.7,3.35,463,3383,126,8,0,0,190,99,3806
"Census Tract 1043.02, Maricopa County, Arizona",4013104302,32443,1,3097,1790,39.8,1.73,623,2151,394,7,243,0,79,223,3097
"Census Tract 1044.01, Maricopa County, Arizona",4013104401,32369,1,4484,2019,35.5,2.17,441,3396,411,22,22,0,537,96,4484
"Census Tract 1044.02, Maricopa County, Arizona",4013104402,39444,1,2917,1280,29.2,2.28,894,1442,133,55,1162,0,71,54,2917
"Census Tract 1045.01, Maricopa County, Arizona",4013104501,24025,1,3081,1155,35.3,2.59,206,2275,368,57,70,146,157,8,3081
"Census Tract 1045.02, Maricopa County, Arizona",4013104502,22604,1,5280,1389,24.2,3.63,207,4719,163,57,21,0,236,84,5280
"Census Tract 1046, Maricopa County, Arizona",4013104600,39716,1,4503,1685,30.4,2.57,436,4063,186,20,27,6,67,134,4503
"Census Tract 1047.01, Maricopa County, Arizona",4013104701,36268,1,2473,1171,35.3,2.09,432,2032,57,36,148,0,169,31,2473
"Census Tract 1047.02, Maricopa County, Arizona",4013104702,25972,1,3949,1658,36.9,2.38,252,3343,219,116,0,0,112,159,3949
"Census Tract 1048.01, Maricopa County, Arizona",4013104801,94609,1,3359,1429,51.2,2.34,1319,3039,10,65,121,0,9,115,3359
"Census Tract 1048.02, Maricopa County, Arizona",4013104802,61563,1,5577,2559,45.5,2.12,1966,5065,205,11,116,0,123,57,5577
"Census Tract 1049, Maricopa County, Arizona",4013104900,73406,1,4309,1521,42.9,2.82,1096,4082,40,2,104,0,10,71,4309
"Census Tract 1050.02, Maricopa County, Arizona",4013105002,123884,1,2815,1097,52,2.57,1627,2706,10,0,0,0,9,90,2815
"Census Tract 1050.03, Maricopa County, Arizona",4013105003,145221,1,4786,1781,50.8,2.67,2519,4659,19,0,85,0,0,23,4786
"Census Tract 1050.04, Maricopa County, Arizona",4013105004,119583,1,3307,1377,54.7,2.38,1660,2811,110,0,271,0,46,69,3307
"Census Tract 1051.01, Maricopa County, Arizona",4013105101,106141,1,4126,1669,50.3,2.46,1947,3967,33,3,54,0,16,53,4126
"Census Tract 1051.02, Maricopa County, Arizona",4013105102,73194,1,3993,2080,51.7,1.92,2036,3476,36,0,313,7,58,103,3993
"Census Tract 1051.03, Maricopa County, Arizona",4013105103,177778,1,2882,1184,55.4,2.42,1638,2679,8,0,112,0,83,0,2882
"Census Tract 1052, Maricopa County, Arizona",4013105200,44797,1,6815,2740,35.8,2.49,1211,4758,871,54,17,0,971,144,6815
"Census Tract 1053, Maricopa County, Arizona",4013105300,54737,1,4965,2198,45.1,2.25,1614,4723,54,0,141,0,35,12,4965
"Census Tract 1054, Maricopa County, Arizona",4013105400,80644,1,3493,1389,45.4,2.5,1236,3020,186,85,92,47,1,62,3493
"Census Tract 1055.01, Maricopa County, Arizona",4013105501,28571,1,2608,906,27.7,2.88,148,1611,205,328,81,0,219,164,2608
"Census Tract 1055.02, Maricopa County, Arizona",4013105502,27156,1,1796,917,26.5,1.94,222,1009,368,245,16,0,110,48,1796
"Census Tract 1055.03, Maricopa County, Arizona",4013105503,19194,1,3074,1600,28.6,1.92,388,1641,726,300,20,0,77,310,3074
"Census Tract 1056.01, Maricopa County, Arizona",4013105601,38281,1,4356,1188,30.9,3.67,144,3115,150,147,168,0,619,157,4356
"Census Tract 1056.02, Maricopa County, Arizona",4013105602,38506,1,7079,2119,26.3,3.34,511,5054,792,64,332,0,462,375,7079
"Census Tract 1057.01, Maricopa County, Arizona",4013105701,53571,1,3100,1156,36.7,2.68,390,2676,57,44,180,0,47,96,3100
"Census Tract 1057.02, Maricopa County, Arizona",4013105702,33472,1,3698,1273,36.4,2.9,376,2946,105,9,200,0,83,355,3698
"Census Tract 1058, Maricopa County, Arizona",4013105800,51059,1,6874,1963,34.3,3.49,539,4627,159,273,164,31,1477,143,6874
"Census Tract 1059, Maricopa County, Arizona",4013105900,31859,1,5568,2057,40.2,2.68,591,4553,404,60,224,0,164,163,5568
"Census Tract 1060.01, Maricopa County, Arizona",4013106001,26783,1,1608,583,29.2,2.69,132,1291,180,0,0,0,83,54,1608
"Census Tract 1060.02, Maricopa County, Arizona",4013106002,26445,1,1896,823,38.1,2.3,155,1711,108,15,13,0,12,37,1896
"Census Tract 1060.03, Maricopa County, Arizona",4013106003,38397,1,2815,1159,38.1,2.39,362,2023,164,244,6,0,213,165,2815
"Census Tract 1061, Maricopa County, Arizona",4013106100,55879,1,4844,2254,43.7,2.09,1474,4288,134,30,144,0,82,166,4844
"Census Tract 1062, Maricopa County, Arizona",4013106200,144226,1,3492,1159,44.5,2.99,1636,3080,65,3,205,0,12,127,3492
"Census Tract 1063, Maricopa County, Arizona",4013106300,43919,1,4607,2214,45.3,2.02,1361,4225,155,0,2,3,61,161,4607
"Census Tract 1064, Maricopa County, Arizona",4013106400,59728,1,3021,1319,42.6,2.26,1053,2239,195,296,172,12,0,107,3021
"Census Tract 1065.01, Maricopa County, Arizona",4013106501,50882,1,3305,1408,36.1,2.35,953,2750,10,30,129,0,277,109,3305
"Census Tract 1065.02, Maricopa County, Arizona",4013106502,45551,1,3413,1747,41.7,1.94,897,2729,268,60,68,0,193,95,3413
"Census Tract 1066, Maricopa County, Arizona",4013106600,89063,1,3541,1507,46.3,2.28,1697,3187,4,11,195,0,64,80,3541
"Census Tract 1067.01, Maricopa County, Arizona",4013106701,24898,1,3610,1474,31.5,2.45,354,1920,648,72,615,97,160,98,3610
"Census Tract 1067.02, Maricopa County, Arizona",4013106702,41151,1,1498,563,35.8,2.63,299,916,202,309,18,2,5,46,1498
"Census Tract 1067.03, Maricopa County, Arizona",4013106703,72946,1,2186,911,42.6,2.38,718,1930,33,17,121,18,20,47,2186
"Census Tract 1068.01, Maricopa County, Arizona",4013106801,19547,1,3596,1523,27.7,2.35,219,2151,570,299,69,0,401,106,3596
"Census Tract 1068.02, Maricopa County, Arizona",4013106802,37594,1,3526,1285,38.3,2.72,293,2673,165,395,66,0,75,152,3526
"Census Tract 1069, Maricopa County, Arizona",4013106900,47885,1,7709,2100,30.8,3.67,546,5074,528,119,236,0,1561,191,7709
"Census Tract 1070, Maricopa County, Arizona",4013107000,37273,1,7276,2246,30.7,3.24,451,5267,403,241,229,0,581,555,7276
"Census Tract 1071.01, Maricopa County, Arizona",4013107101,29295,1,4620,1184,30.3,3.89,124,3502,213,0,267,0,579,59,4620
"Census Tract 1071.02, Maricopa County, Arizona",4013107102,26142,1,5240,1505,27.3,3.48,177,3984,386,135,241,176,318,0,5240
"Census Tract 1072.01, Maricopa County, Arizona",4013107201,23646,1,3722,1080,22.7,2.94,92,2197,165,54,411,0,629,266,3722
"Census Tract 1072.02, Maricopa County, Arizona",4013107202,33250,1,5304,1367,30.3,3.88,161,4091,66,7,465,0,656,19,5304
"Census Tract 1073, Maricopa County, Arizona",4013107300,35500,1,6668,2198,32.7,3.02,420,3335,741,176,249,30,1859,278,6668
"Census Tract 1074, Maricopa County, Arizona",4013107400,26503,1,7417,2927,30.5,2.52,1206,4859,1001,810,176,0,405,166,7417
"Census Tract 1075, Maricopa County, Arizona",4013107500,61891,1,3519,1705,47.6,2.06,1384,3033,242,119,63,0,0,62,3519
"Census Tract 1076.01, Maricopa County, Arizona",4013107601,32656,1,3354,1656,38.8,2.02,841,2742,213,173,70,0,81,75,3354
"Census Tract 1076.02, Maricopa County, Arizona",4013107602,51392,1,2874,1347,32.2,2.13,834,2375,126,80,18,0,184,91,2874
"Census Tract 1077, Maricopa County, Arizona",4013107700,43287,1,3177,1751,40.5,1.8,1243,2321,176,129,160,44,190,157,3177
"Census Tract 1078, Maricopa County, Arizona",4013107800,100827,1,2596,1441,55.9,1.8,1733,2499,9,0,75,0,0,13,2596
"Census Tract 1079, Maricopa County, Arizona",4013107900,79531,1,3787,1805,47.8,2.1,1842,3405,33,10,168,0,76,95,3787
"Census Tract 1080, Maricopa County, Arizona",4013108000,151364,1,3530,1112,41.7,3.17,1614,3439,11,0,50,0,0,30,3530
"Census Tract 1081, Maricopa County, Arizona",4013108100,70714,1,1849,784,40.8,2.36,746,1667,42,0,9,0,22,109,1849
"Census Tract 1082, Maricopa County, Arizona",4013108200,58750,1,3425,1382,37.1,2.48,927,3168,22,23,48,0,121,43,3425
"Census Tract 1083.01, Maricopa County, Arizona",4013108301,79926,1,3719,1600,40.5,2.32,1512,3545,0,0,48,0,41,85,3719
"Census Tract 1083.02, Maricopa County, Arizona",4013108302,49231,1,2847,1442,42.5,1.97,1039,2466,67,122,0,0,192,0,2847
"Census Tract 1084, Maricopa County, Arizona",4013108400,46714,1,4799,2294,37.3,2.07,1260,3840,188,264,93,0,147,267,4799
"Census Tract 1085.01, Maricopa County, Arizona",4013108501,51567,1,2583,1103,34.4,2.34,517,1957,92,51,380,0,96,7,2583
"Census Tract 1085.02, Maricopa County, Arizona",4013108502,47327,1,3800,2101,38.6,1.8,1334,2689,172,55,229,0,130,525,3800
"Census Tract 1086.01, Maricopa County, Arizona",4013108601,24118,1,2600,1028,33.2,2.48,191,1781,184,132,33,0,383,87,2600
"Census Tract 1086.02, Maricopa County, Arizona",4013108602,42548,1,4363,2053,32.7,2.08,748,2443,451,281,98,0,1021,69,4363
"Census Tract 1088.02, Maricopa County, Arizona",4013108802,42587,1,1802,905,42.5,1.95,409,1232,89,12,80,4,289,96,1802
"Census Tract 1089.01, Maricopa County, Arizona",4013108901,35556,1,2966,1222,35.8,2.43,512,1808,397,51,196,0,324,190,2966
"Census Tract 1089.02, Maricopa County, Arizona",4013108902,31672,1,4655,2037,33.3,2.26,489,3003,447,302,0,0,674,229,4655
"Census Tract 109.05, Yuma County, Arizona",4027010905,40250,1,3384,1575,56.6,2.15,257,2418,24,68,6,0,624,244,3384
"Census Tract 109.07, Yuma County, Arizona",4027010907,82515,1,5288,2103,33.2,2.51,1144,4414,0,168,108,0,529,69,5288
"Census Tract 109.10, Yuma County, Arizona",4027010910,36645,1,1585,729,69.5,2.17,191,1528,0,31,19,0,0,7,1585
"Census Tract 109.11, Yuma County, Arizona",4027010911,87043,1,6753,1897,29.6,3.43,1005,5037,79,20,106,0,1014,497,6753
"Census Tract 109.13, Yuma County, Arizona",4027010913,29479,1,971,359,30,2.7,166,474,0,51,0,0,446,0,971
"Census Tract 109.14, Yuma County, Arizona",4027010914,30176,1,680,276,42.7,2.46,100,508,0,0,0,0,172,0,680
"Census Tract 1090.01, Maricopa County, Arizona",4013109001,21480,1,5222,1572,24.8,3.32,206,3148,780,154,386,8,471,275,5222
"Census Tract 1090.02, Maricopa County, Arizona",4013109002,24478,1,4259,1356,24.4,3.14,165,2406,645,357,208,0,562,81,4259
"Census Tract 1090.03, Maricopa County, Arizona",4013109003,19875,1,5711,1568,25.6,3.54,127,4011,254,198,312,0,787,149,5711
"Census Tract 1091.01, Maricopa County, Arizona",4013109101,32531,1,3466,881,30.6,3.93,165,2458,178,42,175,0,582,31,3466
"Census Tract 1091.02, Maricopa County, Arizona",4013109102,34228,1,5629,1492,24.4,3.77,85,4312,450,76,18,0,679,94,5629
"Census Tract 1092, Maricopa County, Arizona",4013109200,17721,1,3827,1272,28.6,2.99,111,2899,255,154,128,0,359,32,3827
"Census Tract 1093, Maricopa County, Arizona",4013109300,27220,1,4801,1089,24.5,4.4,50,4286,271,0,23,0,124,97,4801
"Census Tract 1094, Maricopa County, Arizona",4013109400,14871,1,7381,2131,27.2,3.46,57,4190,317,448,65,58,2234,69,7381
"Census Tract 1095, Maricopa County, Arizona",4013109500,45029,1,5377,1354,31.4,3.96,258,3878,256,37,48,0,958,200,5377
"Census Tract 1096.01, Maricopa County, Arizona",4013109601,34500,1,5477,1346,26.8,4.07,177,3702,483,36,143,0,1061,52,5477
"Census Tract 1096.02, Maricopa County, Arizona",4013109602,35111,1,6493,1519,24.9,4.27,122,4921,450,70,0,8,784,260,6493
"Census Tract 1096.03, Maricopa County, Arizona",4013109603,35779,1,5129,1188,24.4,4.32,116,4135,310,54,0,0,512,118,5129
"Census Tract 1096.04, Maricopa County, Arizona",4013109604,27801,1,3949,1009,27.2,3.91,151,2593,594,36,6,0,633,87,3949
"Census Tract 1097.01, Maricopa County, Arizona",4013109701,27222,1,8039,2420,24.8,3.32,321,5572,304,170,122,0,1729,142,8039
"Census Tract 1097.02, Maricopa County, Arizona",4013109702,30444,1,5457,1287,25.1,4.24,78,3594,463,56,45,7,1162,130,5457
"Census Tract 1097.03, Maricopa County, Arizona",4013109703,32420,1,2939,845,29.7,3.48,130,2099,114,17,53,146,459,51,2939
"Census Tract 1097.04, Maricopa County, Arizona",4013109704,34832,1,3047,615,25.6,4.95,52,2044,172,12,0,0,775,44,3047
"Census Tract 1097.05, Maricopa County, Arizona",4013109705,40172,1,1970,467,26.1,4.22,30,1618,68,0,0,0,241,43,1970
"Census Tract 1098.01, Maricopa County, Arizona",4013109801,31884,1,4080,1012,23.2,4.03,77,3057,178,62,6,0,719,58,4080
"Census Tract 1098.02, Maricopa County, Arizona",4013109802,43196,1,4824,1203,29.1,4,207,3520,89,0,0,0,1123,92,4824
"Census Tract 1099, Maricopa County, Arizona",4013109900,27461,1,7051,1794,25.6,3.93,129,5254,556,146,41,0,929,125,7051
"Census Tract 11, Cochise County, Arizona",4003001100,33086,1,3613,1638,45.9,2.19,562,3011,0,23,0,0,506,73,3613
"Census Tract 11, Gila County, Arizona",4007001100,45707,1,3947,1400,40.7,2.82,428,3243,58,356,49,0,241,0,3947
"Census Tract 11, Pima County, Arizona",4019001100,26983,1,2810,964,36.5,2.9,135,1749,30,200,0,0,790,41,2810
"Census Tract 11, Pinal County, Arizona",4021001100,50537,1,6881,2219,34.6,3.1,450,5374,348,337,0,0,431,391,6881
"Census Tract 11, Yuma County, Arizona",4027001100,41154,1,4992,2040,37,2.38,472,3391,266,54,14,0,1104,163,4992
"Census Tract 11.01, Coconino County, Arizona",4005001101,69008,1,5091,1898,28.8,2.68,1587,4006,220,319,153,17,218,158,5091
"Census Tract 11.01, Yavapai County, Arizona",4025001101,53889,1,3741,1838,58.5,2.02,1412,3655,8,12,66,0,0,0,3741
"Census Tract 11.02, Coconino County, Arizona",4005001102,32671,1,6907,3170,25.4,2.15,1169,4818,49,544,473,0,790,233,6907
"Census Tract 11.02, Yavapai County, Arizona",4025001102,43922,1,3760,1946,58.7,1.87,1372,3590,31,19,18,0,42,60,3760
"Census Tract 110, Yuma County, Arizona",4027011000,35417,1,2090,807,45.9,2.59,227,1168,0,104,21,0,774,23,2090
"Census Tract 1100.01, Maricopa County, Arizona",4013110001,36083,1,3961,996,27.7,3.98,94,3136,174,91,0,0,540,20,3961
"Census Tract 1100.02, Maricopa County, Arizona",4013110002,22525,1,3923,1169,30.8,3.36,23,2319,312,57,33,0,1055,147,3923
"Census Tract 1101, Maricopa County, Arizona",4013110100,22222,1,6801,1688,25.9,4.03,99,6193,84,27,121,0,248,128,6801
"Census Tract 1104, Maricopa County, Arizona",4013110400,42904,1,5089,2193,38.2,2.29,1089,3833,152,450,58,0,550,46,5089
"Census Tract 1105.01, Maricopa County, Arizona",4013110501,42058,1,3029,1857,35.2,1.63,986,2149,147,228,333,0,123,49,3029
"Census Tract 1105.02, Maricopa County, Arizona",4013110502,38090,1,2577,1461,36.8,1.76,521,1434,384,304,126,10,76,243,2577
"Census Tract 1106, Maricopa County, Arizona",4013110600,48916,1,4226,1920,40.4,2.18,875,2765,692,62,133,8,503,63,4226
